TO,LH,RH,LK,RK,LA,RA
402.62,357.17,579.00,375.18,712.00,0.00,0.00
403.23,358.33,579.00,373.28,712.00,0.00,0.00
403.84,359.48,579.00,371.42,712.00,0.00,0.00
404.44,360.62,579.00,369.58,712.00,0.00,0.00
405.04,361.74,579.00,367.78,712.00,0.00,0.00
405.64,362.86,579.00,366.01,712.00,0.00,0.00
406.22,363.96,579.00,364.26,712.00,0.00,0.00
406.81,365.05,579.00,362.55,712.00,0.00,0.00
407.38,366.13,579.00,360.86,712.00,0.00,0.00
407.96,367.19,579.00,359.20,712.00,0.00,0.00
408.53,368.25,579.00,357.58,712.00,0.00,0.00
409.09,369.29,579.00,355.98,712.00,0.00,0.00
409.65,370.33,579.00,354.41,712.00,0.00,0.00
410.20,371.35,579.00,352.86,712.00,0.00,0.00
410.75,372.36,579.00,351.35,712.00,0.00,0.00
411.29,373.36,579.00,349.86,712.00,0.00,0.00
411.83,374.34,579.00,348.40,712.00,0.00,0.00
412.36,375.32,579.00,346.96,712.00,0.00,0.00
412.89,376.28,579.00,345.55,712.00,0.00,0.00
413.41,377.24,579.00,344.17,712.00,0.00,0.00
413.93,378.18,579.00,342.81,712.00,0.00,0.00
414.45,379.11,579.00,341.48,712.00,0.00,0.00
414.96,380.04,579.00,340.18,712.00,0.00,0.00
415.46,380.95,579.00,338.89,712.00,0.00,0.00
415.96,381.85,579.00,337.64,712.00,0.00,0.00
416.46,382.74,579.00,336.40,712.00,0.00,0.00
416.95,383.62,579.00,335.19,712.00,0.00,0.00
417.44,384.48,579.00,334.01,712.00,0.00,0.00
417.92,385.34,579.00,332.84,712.00,0.00,0.00
418.40,386.19,579.00,331.70,712.00,0.00,0.00
418.88,387.03,579.00,330.58,712.00,0.00,0.00
419.35,387.86,579.00,329.49,712.00,0.00,0.00
419.81,388.68,579.00,328.41,712.00,0.00,0.00
420.28,389.49,579.00,327.36,712.00,0.00,0.00
420.74,390.29,579.00,326.32,712.00,0.00,0.00
421.19,391.08,579.00,325.31,712.00,0.00,0.00
421.64,391.86,579.00,324.32,712.00,0.00,0.00
422.08,392.63,579.00,323.35,712.00,0.00,0.00
422.53,393.39,579.00,322.40,712.00,0.00,0.00
422.96,394.14,579.00,321.47,712.00,0.00,0.00
423.40,394.89,579.00,320.56,712.00,0.00,0.00
423.83,395.62,579.00,319.66,712.00,0.00,0.00
424.25,396.35,579.00,318.79,712.00,0.00,0.00
424.68,397.06,579.00,317.93,712.00,0.00,0.00
425.09,397.77,579.00,317.09,712.00,0.00,0.00
425.51,398.47,579.00,316.27,712.00,0.00,0.00
425.92,399.16,579.00,315.47,712.00,0.00,0.00
426.33,399.84,579.00,314.68,712.00,0.00,0.00
426.73,400.52,579.00,313.91,712.00,0.00,0.00
427.13,401.18,579.00,313.16,712.00,0.00,0.00
427.53,401.84,579.00,312.43,712.00,0.00,0.00
427.92,402.49,579.00,312.00,712.00,0.00,0.00
428.31,403.13,579.00,312.00,712.00,0.00,0.00
428.70,403.76,579.00,312.00,712.00,0.00,0.00
429.08,404.39,579.00,312.00,712.00,0.00,0.00
429.46,405.01,579.00,312.00,712.00,0.00,0.00
429.83,405.62,579.00,312.00,712.00,0.00,0.00
430.21,406.22,579.00,312.00,712.00,0.00,0.00
430.57,406.81,579.00,312.00,712.00,0.00,0.00
430.94,407.40,579.00,312.00,712.00,0.00,0.00
431.30,407.98,579.00,312.00,712.00,0.00,0.00
431.66,408.55,579.00,312.00,712.00,0.00,0.00
432.02,409.12,579.00,312.00,712.00,0.00,0.00
